id,title,duration,artist,album
41,"Shape of My Heart",287,Sting,Ten Summoner's Tales
42,"Sweet Child o' Mine",355,Guns N' Roses,Appetite for Destruction
43,"Wonderwall",259,Oasis,(What's the Story) Morning Glory?
44,"Imagine",184,John Lennon,Imagine
45,"Like a Rolling Stone",369,Bob Dylan,Highway 61 Revisited
46,"Bohemian Rhapsody",354,Queen,A Night at the Opera
47,"Hotel California",390,Eagles,Hotel California
48,"Let It Be",243,The Beatles,Let It Be
49,"Smells Like Teen Spirit",301,Nirvana,Nevermind
50,"Stairway to Heaven",482,Led Zeppelin,Led Zeppelin IV
51,"Take Me to Church",242,Hozier,Hozier
52,"Counting Stars",257,OneRepublic,Native
53,"Let Her Go",249,Passenger,All the Little Lights
54,"Radioactive",187,Imagine Dragons,Night Visions
55,"Sorry",200,Justin Bieber,Purpose
56,"Cheap Thrills",211,Sia,This Is Acting
57,"Royals",190,Lorde,Pure Heroine
58,"Shake It Off",219,Taylor Swift,1989
59,"Thinking About You",201,Calvin Harris ft. Ayah Marar,18 Months
60,"Love Story",236,Taylor Swift,Fearless
61,"Old Town Road",113,Lil Nas X ft. Billy Ray Cyrus,7 EP
62,"Can't Stop the Feeling!",236,Justin Timberlake,Trolls (Original Motion Picture Soundtrack)
63,"Bad Guy",194,Billie Eilish,When We All Fall Asleep, Where Do We Go?
64,"Rolling in the Deep",228,Adele,21
65,"Somebody That I Used to Know",244,Gotye ft. Kimbra,Making Mirrors
66,"Shape of You",234,Ed Sheeran,÷ (Deluxe)
67,"Blinding Lights",200,The Weeknd,After Hours
68,"Dance Monkey",209,Tones and I,The Kids Are Coming
69,"Don't Start Now",183,Dua Lipa,Future Nostalgia
70,"Uptown Funk",270,Mark Ronson ft. Bruno Mars,Uptown Special
71,"Closer",244,The Chainsmokers ft. Halsey,Closer
72,"Thinking Out Loud",281,Ed Sheeran,x
73,"Somebody That I Used to Know",244,Gotye ft. Kimbra,Making Mirrors
74,"Happy",232,Pharrell Williams,G I R L
75,"Rolling in the Deep",228,Adele,21
76,"Shape of My Heart",279,Sting,Ten Summoner's Tales
77,"Hotline Bling",267,Drake,Views
78,"Old Town Road",113,Lil Nas X ft. Billy Ray Cyrus,7 EP
79,"Can't Stop the Feeling!",236,Justin Timberlake,Trolls (Original Motion Picture Soundtrack)
80,"Bad Guy",194,Billie Eilish,When We All Fall Asleep, Where Do We Go?
